reference,doi_link,catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,513,30,3,4.40,0.5,15.9,48.4,7.6956,0.1128
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,493,30,3,4.40,0.5,11.5,56,6.44,0.0944
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,473,30,3,4.40,0.5,6.4,72,4.61,0.0675
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,493,10,3,4.40,0.5,10.2,30.9,3.15,0.0462
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,473,10,3,4.40,0.5,5.5,53.8,2.96,0.0434
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,513,10,3,4.40,0.5,14.2,18.6,2.64,0.0387
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,513,30,3,4.40,0.5,17.5,48.4,8.47,0.1241
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,493,30,3,4.40,0.5,12.6,55.2,6.96,0.1020
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,473,30,3,4.40,0.5,6.5,70.9,4.61,0.0675
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,493,10,3,4.40,0.5,8.6,34.6,2.98,0.0437
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,473,10,3,4.40,0.5,4.1,59.5,2.44,0.0358
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(3)ZnO(9)/ZrO2(6),Yes,CuO,Cu,18,ZnO,ZnO,48.8,ZrO2,33.2,NA,NA,147,7.30,513,10,3,4.40,0.5,13.3,16.9,2.25,0.0330
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,513,30,3,4.40,0.5,17.6,48.8,8.59,0.1259
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,493,30,3,4.40,0.5,12.6,57.4,7.23,0.1059
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,473,30,3,4.40,0.5,7.2,70.2,5.05,0.0740
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,493,10,3,4.40,0.5,7.1,41.1,2.92,0.0428
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,513,10,3,4.40,0.5,11.4,25.2,2.87,0.0421
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(12)/ZrO2(6),Yes,CuO,Cu,68.7,NA,NA,NA,ZrO2,31.3,NA,NA,118,7.40,473,10,3,4.40,0.5,3.9,63,2.46,0.0360
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,513,30,3,4.40,0.5,16.5,45,7.43,0.1089
