cell_id,cycle,discharge_capacity_Ah
b1c3,1,0.0
b1c3,2,1.0797229
b1c3,3,1.0812283
b1c3,4,1.0819938
b1c3,5,1.0827308
b1c3,6,1.083112
b1c3,7,1.08355
b1c3,8,1.0837905
b1c3,9,1.0840378
b1c3,10,1.0843078
b1c3,11,1.0843241
b1c3,12,1.084146
b1c3,13,1.0801494
b1c3,14,1.0828358
b1c3,15,1.0833995
b1c3,16,1.0839369
b1c3,17,1.0842366
b1c3,18,1.0844988
b1c3,19,1.0845997
b1c3,20,1.0849102
b1c3,21,1.0849816
b1c3,22,1.0850784
b1c3,23,1.0852121
b1c3,24,1.0853114
b1c3,25,1.0854828
b1c3,26,1.0855538
b1c3,27,1.0855597
b1c3,28,1.0854679
b1c3,29,1.0854152
b1c3,30,1.0854537
b1c3,31,1.0854599
b1c3,32,1.0854311
b1c3,33,1.0853695
b1c3,34,1.085397
b1c3,35,1.0854614
b1c3,36,1.0853621
b1c3,37,1.0854149
b1c3,38,1.0854114
b1c3,39,1.0853826
b1c3,40,1.0854635
b1c3,41,1.0854844
b1c3,42,1.0855337
b1c3,43,1.0855618
b1c3,44,1.085567
b1c3,45,1.0855333
b1c3,46,1.0855768
b1c3,47,1.0856103
b1c3,48,1.0856651
b1c3,49,1.0857081
b1c3,50,1.085786
b1c3,51,1.0856825
b1c3,52,1.0858119
b1c3,53,1.0857023
b1c3,54,1.0857193
b1c3,55,1.0856463
b1c3,56,1.0855734
b1c3,57,1.0854634
b1c3,58,1.0854337
b1c3,59,1.0854168
b1c3,60,1.0853405
b1c3,61,1.0853049
b1c3,62,1.085326
b1c3,63,1.0852576
b1c3,64,1.0853672
b1c3,65,1.085776
b1c3,66,1.0859883
b1c3,67,1.0861838
b1c3,68,1.086253
b1c3,69,1.086098
b1c3,70,1.0853186
b1c3,71,1.0854003
b1c3,72,1.0853723
b1c3,73,1.0854259
b1c3,74,1.0853949
b1c3,75,1.0854065
b1c3,76,1.0854642
b1c3,77,1.0854348
b1c3,78,1.0854254
b1c3,79,1.0853767
b1c3,80,1.0853026
b1c3,81,1.0852393
b1c3,82,1.085196
b1c3,83,1.0851202
b1c3,84,1.0850787
b1c3,85,1.0850545
b1c3,86,1.0850168
b1c3,87,1.084957
b1c3,88,1.0848925
b1c3,89,1.0848627
b1c3,90,1.0848633
b1c3,91,1.0847851
b1c3,92,1.0848444
b1c3,93,1.0847695
b1c3,94,1.084747
b1c3,95,1.0847627
b1c3,96,1.0847682
b1c3,97,1.0848277
b1c3,98,1.0847731
b1c3,99,1.084765
b1c3,100,1.0847498
b1c3,101,1.0846678
b1c3,102,1.0846566
b1c3,103,1.0846378
b1c3,104,1.0846335
b1c3,105,1.0846103
b1c3,106,1.0845871
b1c3,107,1.0845556
b1c3,108,1.0845712
b1c3,109,1.084583
b1c3,110,1.0844593
b1c3,111,1.0843997
b1c3,112,1.0843788
b1c3,113,1.0843291
b1c3,114,1.0842854
b1c3,115,1.0842177
b1c3,116,1.0842142
b1c3,117,1.0841979
b1c3,118,1.084121
b1c3,119,1.0841068
b1c3,120,1.0840677
b1c3,121,1.0839566
b1c3,122,1.0839578
b1c3,123,1.0840232
b1c3,124,1.0840218
b1c3,125,1.0840709
b1c3,126,1.0841308
b1c3,127,1.0840877
b1c3,128,1.0839915
b1c3,129,1.0839114
b1c3,130,1.0839154
b1c3,131,1.0839843
b1c3,132,1.0839454
b1c3,133,1.0839752
b1c3,134,1.0840868
b1c3,135,1.08401
b1c3,136,1.0840062
b1c3,137,1.0838348
b1c3,138,1.0837884
b1c3,139,1.0837196
b1c3,140,1.0836221
b1c3,141,1.0835581
b1c3,142,1.0835664
b1c3,143,1.0834996
b1c3,144,1.0834476
b1c3,145,1.0833633
b1c3,146,1.0833584
b1c3,147,1.0832263
b1c3,148,1.0831798
b1c3,149,1.0831159
b1c3,150,1.0831796
b1c3,151,1.0831208
b1c3,152,1.0831757
b1c3,153,1.0831746
