cell_id,split,source_cell_index_1based,batch,cycle_life,log10_cycle_life,log10_var_dQ100_10,log10_abs_min_dQ100_10,mean_dQ100_10_Ah,max_Qdlin_cycle2_Ah,max_Qdlin_cycle100_minus2_Ah,max_Qdlin_slope_cycles2_100_Ah_per_cycle
b1c1,train,1,1,2160,3.3344537511509307,-5.01382351182045,-1.9586073148417746,-0.004098655498000002,1.0612,0.0035000000000000586,-1.3062461348175155e-05
b1c3,train,2,1,1434,3.1565491513317814,-4.442222646484632,-1.7221616669979505,-0.0074551664422000015,1.0639,0.0024999999999999467,-0.02136681014223871
b1c5,train,3,1,1074,3.0310042813635367,-4.178591867800937,-1.5989442742281565,-0.011075481394099999,1.0598,-0.00019999999999997797,-2.755844155844133e-05
b1c7,train,4,1,870,2.9395192526186187,-3.813009470982281,-1.417595701980972,-0.016646599528899998,1.0785,-0.0035000000000000586,-6.491156462585688e-05
b1c11,train,5,1,788,2.8965262174895554,-4.146440673378533,-1.6254349392772351,-0.008378263209100003,1.0345,0.0046999999999999265,8.468769325911117e-06
b1c15,train,6,1,719,2.8567288903828825,-4.01749052838564,-1.5385014732169802,-0.01101211031259,1.044,0.0047999999999999154,5.179962894244465e-06
b1c17,train,7,1,857,2.932980821923198,-3.9697346052401006,-1.5076587467450249,-0.0133425554533,1.0558,0.0004999999999999449,-3.5839208410632034e-05
b1c19,train,8,1,788,2.8965262174895554,-3.6194216573962725,-1.3382819423053407,-0.020106987480500004,1.0698,-0.0038000000000000256,-6.986270871985184e-05
b1c21,train,9,1,559,2.747411807886423,-3.349898596560121,-1.1889614913957842,-0.030657077005800004,1.067,-0.013299999999999867,-0.015157583178726043
b1c24,train,10,1,1017,3.0073209529227447,-3.9382127030817204,-1.4970269409343688,-0.013872610433000003,1.0588,-0.0008999999999999009,-4.330612244898294e-05
b1c26,train,11,1,870,2.9395192526186187,-3.794828860154991,-1.4162346317150003,-0.017850616724300005,1.0729,-0.0039000000000000146,-7.602350030922745e-05
b1c28,train,12,1,860,2.934498451243568,-3.8442469468705607,-1.429340329978465,-0.016699089702200003,1.0631,-0.0037000000000000366,-6.936672850958873e-05
b1c30,train,13,1,709,2.8506462351830666,-3.744243672205031,-1.3891269996199476,-0.0177190843967,1.0646,-0.0029999999999998916,-6.478540507111601e-05
b1c32,train,14,1,731,2.8639173769578603,-3.6460300176147484,-1.3413209714175511,-0.0207300607424,1.0625,-0.00550000000000006,-8.58404452690163e-05
b1c34,train,15,1,742,2.870403905279027,-3.84821986129977,-1.4292236312052515,-0.0160810502402,1.0596,-0.0028000000000001357,-5.394434137290501e-05
b1c36,train,16,1,704,2.847572659142112,-3.669040817559718,-1.3504704340521811,-0.021042352291100002,1.0634,-0.005599999999999827,2.6001236858372902e-05
b1c38,train,17,1,617,2.7902851640332416,-3.432604177632162,-1.2486439002746057,-0.026763551482589996,1.0572,-0.009099999999999886,-0.00011621026592454967
b1c40,train,18,1,966,2.9849771264154934,-4.054733192117884,-1.5362562787529415,-0.012627285271800001,1.0677,-0.0015000000000000568,-5.055782312924747e-05
b1c42,train,19,1,702,2.846337112129805,-3.665433278670105,-1.3496924768680627,-0.020597825084180003,1.065,-0.0043999999999999595,-7.705009276438254e-05
b1c44,train,20,1,616,2.7895807121644256,-3.4202529917397824,-1.2306965398109182,-0.029327390992499997,1.0707,-0.0129999999999999,-0.00015381447124304613
b2c0,train,21,2,300,2.4771212547196626,-2.745272765773223,-0.8683171905385944,-0.07133888310909998,1.0541,-0.05784,-0.00066439591836735
b2c2,train,22,2,438,2.6414741105040997,-3.4927969647867343,-1.263046046216854,-0.024491017342559998,1.0575,-0.006800000000000139,-0.0001125924551638807
b2c4,train,23,2,444,2.6473829701146196,-3.3515791450907764,-1.1937521728042095,-0.03223221640920001,1.0571,-0.018000000000000016,-0.00020848855905998762
b2c6,train,24,2,511,2.708420900134713,-3.2439552629982664,-1.1399016703014822,-0.03927457102459999,1.0536,-0.0253000000000001,-0.0002989437229437199
b2c11,train,25,2,477,2.678518379040114,-3.462290958450679,-1.2480284252636724,-0.027693787035900003,1.0571,-0.011900000000000022,-0.0001472962275819335
b2c13,train,26,2,483,2.683947130751512,-3.1843940818462557,-1.113904267562253,-0.0371677880092,1.0657,-0.019600000000000062,-0.00022731354359926004
b2c17,train,27,2,494,2.693726948923647,-3.4285384115330944,-1.2379219126653602,-0.024469082576299997,1.0526,-0.0040999999999999925,-9.346072974645264e-05
b2c19,train,28,2,461,2.663700925389648,-3.3155744073771274,-1.1901710389321136,-0.031535960805400005,1.026,-0.018100000000000005,-0.00020028818800247108
b2c21,train,29,2,489,2.6893088591236203,-3.526099225995509,-1.2306965398109184,-0.026208373083400002,1.0626,-0.01089999999999991,-0.00015980333951762333
b2c23,train,30,2,527,2.7218106152125467,-3.525788541925276,-1.280585840297407,-0.027351104460199997,1.0582,-0.013700000000000045,-0.0001794359925788491
b2c25,train,31,2,461,2.663700925389648,-3.452003438914921,-1.2445825371890638,-0.026755146691,1.049,-0.008999999999999897,-0.00013249721706864236
b2c27,train,32,2,468,2.670245853074124,-3.56135901443085,-1.2988639339074743,-0.0230399267202,1.0497,-0.005400000000000071,-9.572170686456187e-05
b2c29,train,33,2,498,2.6972293427597176,-3.7085016324717905,-1.386263858738128,-0.017621878526029998,1.0556,-0.0008000000000001339,-4.666666666666617e-05
b2c31,train,34,2,492,2.69196510276736,-3.626695133791588,-1.343135508451083,-0.0219289187898,1.0583,-0.0039000000000000146,-8.318119975262873e-05
b2c33,train,35,2,520,2.716003343634799,-3.6832131174362646,-1.364817951343732,-0.019741272341,1.0653,-0.0031999999999998696,-7.759059987631764e-05
b2c35,train,36,2,463,2.6655809910179533,-3.4877318665659507,-1.2720522904552032,-0.023496476821600006,1.0508,-0.00550000000000006,-7.65157699443385e-05
b2c37,train,37,2,478,2.6794278966121188,-3.522694816560945,-1.291324207273463,-0.0233115149071,1.0589,-0.005199999999999871,-8.129128014842577e-05
b2c39,train,38,2,459,2.661812685537261,-3.505156657478703,-1.2835792661534455,-0.025512711115800002,1.0632,-0.006799999999999917,-0.00011681014223871155
b2c41,train,39,2,429,2.6324572921847245,-3.4386317643664372,-1.247337056879028,-0.025823702771,1.0535,-0.005400000000000071,-8.116512059369559e-05
b2c43,train,40,2,462,2.6646419755561257,-3.3945607301060416,-1.2259942697417898,-0.02833769642327,1.0589,-0.009399999999999853,-0.0001351589363017934
b2c45,train,41,2,487,2.6875289612146345,-3.687971428794242,-1.3614109167072836,-0.020854760284,1.0542,-0.005800000000000027,-9.845640074211654e-05
b1c0,primary_test,1,1,1852,3.2676409823459154,-5.0145407046986,-2.072629636960975,-0.0028734573822000037,1.0544,0.0051000000000001044,4.068014842300669e-05
b1c2,primary_test,2,1,2237,3.34966598409663,-4.736480768409234,-1.7639668528823638,-0.004485628383300003,1.0648,0.0029000000000001247,-7.915893630180101e-06
b1c4,primary_test,3,1,1709,3.232742062720737,-4.647274078221578,-1.8551145817128551,-0.0057492619341000025,1.0635,0.002100000000000213,-0.0230458961038961
b1c6,primary_test,4,1,636,2.803457115648414,-3.7684064141556415,-1.421475394725007,-0.0159628272984,1.0608,9.999999999998899e-05,-3.837600494743537e-05
b1c9,primary_test,5,1,1054,3.022840610876528,-4.058971730225581,-1.541815564429736,-0.011509723691399997,1.067,0.001100000000000101,-3.0497217068649106e-05
b1c14,primary_test,6,1,880,2.9444826721501687,-4.045623580331632,-1.5483670525430087,-0.01194573963766,1.0547,0.0017000000000000348,-1.2213976499685125e-05
