polymer_id,aromatic_fraction,rotatable_bond_fraction,hbond_sites_per_repeat,tg_c
P01,0.08,0.23,1,19.8
P02,0.25,0.52,0,9.8
P03,0.42,0.81,3,61.9
P04,0.59,0.34,2,141.1
P05,0.76,0.63,1,113.2
P06,0.15,0.16,0,30.6
P07,0.32,0.45,3,93.6
P08,0.49,0.74,2,64.7
P09,0.66,0.27,1,141.9
P10,0.83,0.56,0,116
P11,0.22,0.85,3,22.1
P12,0.39,0.38,2,90.3
P13,0.56,0.67,1,65.4
P14,0.73,0.2,0,146.7
P15,0.12,0.49,3,38.8
P16,0.29,0.78,2,26.8
P17,0.46,0.31,1,90.1
P18,0.63,0.6,0,76.2
P19,0.8,0.13,3,230.4
P20,0.19,0.42,2,41.6
P21,0.36,0.71,1,27.6
P22,0.53,0.24,0,92.9
P23,0.7,0.53,3,158.9
P24,0.09,0.82,2,-23.9
P25,0.26,0.35,1,42.3
P26,0.43,0.64,0,32.4
P27,0.6,0.17,3,175.6
P28,0.77,0.46,2,163.6
P29,0.16,0.75,1,-24.2
P30,0.33,0.28,0,53.1
P31,0.5,0.57,3,116.1
P32,0.67,0.86,2,87.1
P33,0.84,0.39,1,164.4
P34,0.23,0.68,0,-21.5
P35,0.4,0.21,3,135.8
P36,0.57,0.5,2,112.8
